Time
'0:0:56.6,1.9021
'0:0:56.7,1.9011
'0:0:56.8,1.9010
'0:0:56.9,1.9007
'0:0:57.0,1.9001
'0:0:57.1,1.8987
'0:0:57.2,1.8976
'0:0:57.3,1.8962
'0:0:57.4,1.8950
'0:0:57.5,1.8938
'0:0:57.6,1.8924
'0:0:57.7,1.8912
'0:0:57.8,1.8900
'0:0:57.9,1.8886
'0:0:58.0,1.8875
'0:0:58.1,1.8863
'0:0:58.2,1.8852
'0:0:58.3,1.8843
'0:0:58.4,1.8837
'0:0:58.5,1.8837
'0:0:58.6,1.8840
'0:0:58.7,1.8842
'0:0:58.8,1.8843
'0:0:58.9,1.8843
'0:0:59.0,1.8846
'0:0:59.1,1.8840
'0:0:59.2,1.8843
'0:0:59.3,1.8849
'0:0:59.4,1.8848
'0:0:59.5,1.8839
'0:0:59.6,1.8829
'0:0:59.7,1.8819
'0:0:59.8,1.8807
'0:0:59.9,1.8794
'0:1:0.0,1.8779
'0:1:0.1,1.8758
'0:1:0.2,1.8740
'0:1:0.3,1.8720
'0:1:0.4,1.8700
'0:1:0.5,1.8679
'0:1:0.6,1.8657
'0:1:0.7,1.8635
'0:1:0.8,1.8611
'0:1:0.9,1.8589
