 Time,,, HRV
4/4/2019,11:06:06,AM,49
4/4/2019,11:06:07,AM,49
4/4/2019,11:06:08,AM,49
4/4/2019,11:06:09,AM,49
4/4/2019,11:06:10,AM,49
4/4/2019,11:06:12,AM,49
4/4/2019,11:06:13,AM,49
4/4/2019,11:06:14,AM,49
4/4/2019,11:06:15,AM,49
4/4/2019,11:06:16,AM,49
4/4/2019,11:06:17,AM,50
4/4/2019,11:06:18,AM,50
4/4/2019,11:06:19,AM,50
4/4/2019,11:06:20,AM,50
4/4/2019,11:06:21,AM,50
4/4/2019,11:06:22,AM,50
4/4/2019,11:06:23,AM,50
4/4/2019,11:06:24,AM,50
4/4/2019,11:06:25,AM,50
4/4/2019,11:06:26,AM,50
4/4/2019,11:06:27,AM,49
4/4/2019,11:06:28,AM,49
4/4/2019,11:06:29,AM,49
4/4/2019,11:06:30,AM,49
4/4/2019,11:06:31,AM,48
4/4/2019,11:06:32,AM,48
4/4/2019,11:06:33,AM,48
4/4/2019,11:06:34,AM,47
4/4/2019,11:06:35,AM,47
4/4/2019,11:06:36,AM,47
4/4/2019,11:06:37,AM,47
4/4/2019,11:06:38,AM,47
4/4/2019,11:06:39,AM,47
4/4/2019,11:06:40,AM,46
4/4/2019,11:06:41,AM,46
4/4/2019,11:06:42,AM,46
4/4/2019,11:06:43,AM,46
4/4/2019,11:06:44,AM,46
4/4/2019,11:06:45,AM,46
4/4/2019,11:06:46,AM,46
4/4/2019,11:06:47,AM,46
4/4/2019,11:06:48,AM,46
4/4/2019,11:06:49,AM,46
4/4/2019,11:06:50,AM,46
4/4/2019,11:06:51,AM,46
4/4/2019,11:06:52,AM,46
4/4/2019,11:06:53,AM,46
4/4/2019,11:06:54,AM,46
4/4/2019,11:06:55,AM,46
4/4/2019,11:06:56,AM,47
4/4/2019,11:06:57,AM,47
4/4/2019,11:06:58,AM,47
4/4/2019,11:06:59,AM,47
4/4/2019,11:07:00,AM,47
4/4/2019,11:07:01,AM,47
4/4/2019,11:07:02,AM,47
4/4/2019,11:07:03,AM,47
4/4/2019,11:07:04,AM,48
4/4/2019,11:07:05,AM,48
4/4/2019,11:07:06,AM,48
4/4/2019,11:07:07,AM,48
4/4/2019,11:07:08,AM,49
4/4/2019,11:07:09,AM,48
4/4/2019,11:07:10,AM,48
4/4/2019,11:07:11,AM,49
4/4/2019,11:07:12,AM,48
4/4/2019,11:07:13,AM,48
4/4/2019,11:07:14,AM,48
4/4/2019,11:07:15,AM,48
4/4/2019,11:07:16,AM,48
4/4/2019,11:07:17,AM,48
4/4/2019,11:07:18,AM,48
4/4/2019,11:07:19,AM,49
4/4/2019,11:07:20,AM,49
4/4/2019,11:07:21,AM,49
4/4/2019,11:07:22,AM,49
4/4/2019,11:07:23,AM,49
4/4/2019,11:07:24,AM,48
4/4/2019,11:07:25,AM,48
4/4/2019,11:07:26,AM,48
4/4/2019,11:07:27,AM,48
4/4/2019,11:07:28,AM,48
4/4/2019,11:07:29,AM,48
4/4/2019,11:07:31,AM,47
4/4/2019,11:07:32,AM,47
4/4/2019,11:07:34,AM,45
4/4/2019,11:07:35,AM,45
4/4/2019,11:07:37,AM,43
4/4/2019,11:07:38,AM,43
4/4/2019,11:07:39,AM,43
4/4/2019,11:07:40,AM,43
4/4/2019,11:07:41,AM,43
4/4/2019,11:07:42,AM,43
4/4/2019,11:07:43,AM,43
4/4/2019,11:07:44,AM,44
4/4/2019,11:07:45,AM,44
4/4/2019,11:07:46,AM,44
4/4/2019,11:07:47,AM,44
4/4/2019,11:07:48,AM,44
4/4/2019,11:07:49,AM,43
4/4/2019,11:07:50,AM,41
4/4/2019,11:07:51,AM,41
4/4/2019,11:07:52,AM,40
4/4/2019,11:07:53,AM,40
4/4/2019,11:07:54,AM,40
4/4/2019,11:07:55,AM,41
4/4/2019,11:07:56,AM,41
4/4/2019,11:07:57,AM,41
4/4/2019,11:07:58,AM,41
4/4/2019,11:07:59,AM,41
4/4/2019,11:08:00,AM,40
4/4/2019,11:08:01,AM,40
